"filename", "language", "Python", "Markdown", "YAML", "comment", "blank", "total"
"z:\8_code\blender-mcp\blender_mcp\__init__.py", "Python", 5, 0, 0, 1, 3, 9
"z:\8_code\blender-mcp\blender_mcp\adapters\__init__.py", "Python", 1, 0, 0, 1, 1, 3
"z:\8_code\blender-mcp\blender_mcp\adapters\base.py", "Python", 11, 0, 0, 1, 6, 18
"z:\8_code\blender-mcp\blender_mcp\adapters\plugin_contract.py", "Python", 6, 0, 0, 1, 4, 11
"z:\8_code\blender-mcp\blender_mcp\catalog\__init__.py", "Python", 1, 0, 0, 1, 1, 3
"z:\8_code\blender-mcp\blender_mcp\catalog\catalog.py", "Python", 19, 0, 0, 1, 9, 29
"z:\8_code\blender-mcp\blender_mcp\core\__init__.py", "Python", 1, 0, 0, 1, 1, 3
"z:\8_code\blender-mcp\blender_mcp\core\lifecycle.py", "Python", 22, 0, 0, 1, 9, 32
"z:\8_code\blender-mcp\blender_mcp\core\server.py", "Python", 53, 0, 0, 1, 11, 65
"z:\8_code\blender-mcp\blender_mcp\core\types.py", "Python", 20, 0, 0, 1, 8, 29
"z:\8_code\blender-mcp\blender_mcp\security\__init__.py", "Python", 1, 0, 0, 1, 1, 3
"z:\8_code\blender-mcp\blender_mcp\security\allowlist.py", "Python", 10, 0, 0, 1, 6, 17
"z:\8_code\blender-mcp\blender_mcp\security\audit.py", "Python", 18, 0, 0, 1, 9, 28
"z:\8_code\blender-mcp\blender_mcp\security\permissions.py", "Python", 10, 0, 0, 1, 5, 16
"z:\8_code\blender-mcp\blender_mcp\security\rate_limit.py", "Python", 16, 0, 0, 1, 5, 22
"z:\8_code\blender-mcp\blender_mcp\transport\__init__.py", "Python", 1, 0, 0, 1, 1, 3
"z:\8_code\blender-mcp\blender_mcp\transport\base.py", "Python", 16, 0, 0, 1, 7, 24
"z:\8_code\blender-mcp\blender_mcp\transport\stdio.py", "Python", 15, 0, 0, 1, 9, 25
"z:\8_code\blender-mcp\blender_mcp\validation\__init__.py", "Python", 1, 0, 0, 1, 1, 3
"z:\8_code\blender-mcp\blender_mcp\validation\gate.py", "Python", 14, 0, 0, 1, 7, 22
"z:\8_code\blender-mcp\blender_mcp\versioning\__init__.py", "Python", 1, 0, 0, 1, 1, 3
"z:\8_code\blender-mcp\blender_mcp\versioning\support_matrix.py", "Python", 12, 0, 0, 1, 5, 18
"z:\8_code\blender-mcp\openspec\changes\build-blender-mcp\.openspec.yaml", "YAML", 0, 0, -2, 0, -1, -3
"z:\8_code\blender-mcp\openspec\changes\build-blender-mcp\design.md", "Markdown", 0, -42, 0, 0, -15, -57
"z:\8_code\blender-mcp\openspec\changes\build-blender-mcp\proposal.md", "Markdown", 0, -23, 0, 0, -9, -32
"z:\8_code\blender-mcp\openspec\changes\build-blender-mcp\specs\blender-plugin-interface\spec.md", "Markdown", 0, -16, 0, 0, -7, -23
"z:\8_code\blender-mcp\openspec\changes\build-blender-mcp\specs\capability-catalog\spec.md", "Markdown", 0, -16, 0, 0, -7, -23
"z:\8_code\blender-mcp\openspec\changes\build-blender-mcp\specs\integration-tests-and-examples\spec.md", "Markdown", 0, -16, 0, 0, -7, -23
"z:\8_code\blender-mcp\openspec\changes\build-blender-mcp\specs\mcp-core-architecture\spec.md", "Markdown", 0, -19, 0, 0, -8, -27
"z:\8_code\blender-mcp\openspec\changes\build-blender-mcp\specs\security-and-stability-guardrails\spec.md", "Markdown", 0, -21, 0, 0, -9, -30
"z:\8_code\blender-mcp\openspec\changes\build-blender-mcp\specs\validation-and-architecture-review\spec.md", "Markdown", 0, -16, 0, 0, -7, -23
"z:\8_code\blender-mcp\openspec\changes\build-blender-mcp\specs\version-compatibility-policy\spec.md", "Markdown", 0, -16, 0, 0, -7, -23
"z:\8_code\blender-mcp\openspec\changes\build-blender-mcp\tasks.md", "Markdown", 0, -24, 0, 0, -12, -36
"z:\8_code\blender-mcp\openspec\config.yaml", "YAML", 0, 0, -1, -17, -3, -21
"z:\8_code\blender-mcp\openspec\project.md", "Markdown", 0, -21, 0, 0, -11, -32
"Total", "-", 254, -230, -3, 5, 7, 33
